Date,Close
4/2/2018,132
4/3/2018,149.01
4/4/2018,144.22
4/5/2018,143.99
4/6/2018,147.92
4/9/2018,150
4/10/2018,154.9
4/11/2018,149.57
4/12/2018,149.1
4/13/2018,149
4/16/2018,144.32
4/17/2018,148.49
4/18/2018,154.91
4/19/2018,153.47
4/20/2018,158.45
4/23/2018,158.04
4/24/2018,155.07
4/25/2018,153.33
4/26/2018,156.6
4/27/2018,159.98
4/30/2018,161.67
5/1/2018,164.88
5/2/2018,170
5/3/2018,160.38
5/4/2018,154.26
5/7/2018,150
5/8/2018,150.64
5/9/2018,150.07
5/10/2018,158.13
5/11/2018,156.77
5/14/2018,159.97
5/15/2018,158.71
5/16/2018,161.39
5/17/2018,158.76
5/18/2018,150.8
5/21/2018,150.22
5/22/2018,150.43
5/23/2018,154.37
5/24/2018,154.59
5/25/2018,156.6
5/29/2018,154.62
5/30/2018,156.38
5/31/2018,157.71
6/1/2018,159.24
6/4/2018,162.83
6/5/2018,164.96
6/6/2018,165.64
6/7/2018,166.03
6/8/2018,171.48
6/11/2018,172.37
6/12/2018,170.23
6/13/2018,170.82
6/14/2018,178.1
6/15/2018,175.02
6/18/2018,174.35
6/19/2018,169.89
6/20/2018,176.4
6/21/2018,179.53
6/22/2018,180.94
6/25/2018,170.37
6/26/2018,175.98
6/27/2018,172.15
6/28/2018,167.7
6/29/2018,168.24
7/2/2018,170.69
7/3/2018,168.66
7/5/2018,176.44
7/6/2018,175.7
7/9/2018,177.44
7/10/2018,180.43
7/11/2018,182.35
7/12/2018,188.35
7/13/2018,187.21
7/16/2018,184.22
7/17/2018,187.05
7/18/2018,186.15
7/19/2018,182.19
7/20/2018,182.79
7/23/2018,188.05
7/24/2018,187.81
7/25/2018,187.99
7/26/2018,196.28
7/27/2018,186.27
7/30/2018,176.79
7/31/2018,182.83
8/1/2018,180.12
8/2/2018,179.71
8/3/2018,175.5
8/6/2018,179.95
8/7/2018,179.52
8/8/2018,178.7
8/9/2018,187.38
8/10/2018,189.06
8/13/2018,191.55
8/14/2018,193.75
8/15/2018,190.33
8/16/2018,192.36
8/17/2018,188.37
8/20/2018,186.4
8/21/2018,190.38
8/22/2018,191.03
8/23/2018,190
8/24/2018,192.38
8/27/2018,194.69
8/28/2018,191.96
8/29/2018,191.26
8/30/2018,189.85
8/31/2018,189.52
9/4/2018,187.53
9/5/2018,177.36
9/6/2018,175.56
9/7/2018,177.8
9/10/2018,182.49
9/11/2018,182.67
9/12/2018,183.79
9/13/2018,184.89
9/14/2018,180.63
9/17/2018,175.1
9/18/2018,175.52
9/19/2018,171.14
9/20/2018,172.64
9/21/2018,175.02
9/24/2018,176.97
9/25/2018,179.91
9/26/2018,182.05
9/27/2018,184.41
9/28/2018,180.83
10/1/2018,180.4
10/2/2018,178.88
10/3/2018,176.95
10/4/2018,168.58
10/5/2018,164.38
10/8/2018,163.47
10/9/2018,161.53
10/10/2018,149.48
10/11/2018,152.27
10/12/2018,158.49
10/15/2018,159.25
10/16/2018,164.75
10/17/2018,159.28
10/18/2018,152.49
10/19/2018,148.93
