Date,Close
6/2/2014,70.2
6/3/2014,70.35
6/4/2014,70.2
6/5/2014,69.5
6/6/2014,68.95
6/10/2014,69.55
6/11/2014,69.65
6/12/2014,69.3
6/13/2014,69.45
6/16/2014,69.4
6/17/2014,69.3
6/18/2014,69.25
6/19/2014,69.4
6/20/2014,69.7
6/23/2014,69.7
6/24/2014,70.05
6/25/2014,69
6/26/2014,68.7
6/27/2014,68.75
6/30/2014,68.7
7/1/2014,69.4
7/2/2014,69.2
7/3/2014,69.85
7/4/2014,69.6
7/7/2014,69
7/8/2014,68.8
7/9/2014,68.8
7/10/2014,68.45
7/11/2014,68.45
7/14/2014,69
7/15/2014,68.7
7/16/2014,69.05
7/17/2014,69.15
7/18/2014,69
7/21/2014,68.9
7/22/2014,69.45
7/23/2014,69.85
7/24/2014,69.85
7/25/2014,69.25
7/28/2014,69
7/29/2014,68.85
7/30/2014,68.3
7/31/2014,67.55
8/4/2014,66.55
8/5/2014,67
8/6/2014,67.1
8/7/2014,69.4
8/8/2014,68.85
8/11/2014,68.75
8/12/2014,68.8
8/13/2014,69.15
8/14/2014,69.45
8/15/2014,69.35
8/18/2014,69.7
8/19/2014,69.95
8/20/2014,69.95
8/21/2014,70.3
8/22/2014,69.95
8/25/2014,70.35
8/26/2014,70.8
8/27/2014,70.9
8/28/2014,70.55
8/29/2014,71.25
9/1/2014,71.35
9/2/2014,71.55
9/3/2014,71.7
9/4/2014,71.7
9/5/2014,71.4
9/8/2014,71.65
9/9/2014,71.45
9/10/2014,71.4
9/11/2014,71.35
9/12/2014,70.95
9/15/2014,70.65
9/16/2014,70.95
9/17/2014,70.45
9/18/2014,70.35
9/19/2014,70.4
9/22/2014,70.45
9/23/2014,69.75
9/24/2014,70
9/25/2014,69.45
9/26/2014,69.6
9/29/2014,69.6
9/30/2014,70.25
10/1/2014,69.75
10/2/2014,69
10/3/2014,69.15
10/6/2014,69.25
10/7/2014,68.55
10/8/2014,68.8
10/9/2014,68.85
10/10/2014,68.6
10/13/2014,68.2
10/14/2014,67.95
10/15/2014,66.95
10/16/2014,64.95
10/17/2014,66.25
10/20/2014,66.8
10/21/2014,67.25
10/22/2014,67.95
10/23/2014,68
10/24/2014,67.95
10/27/2014,68.35
10/28/2014,68.9
10/29/2014,69.15
10/30/2014,69.45
10/31/2014,70.4
11/3/2014,69.9
11/4/2014,69.9
11/5/2014,70.5
11/6/2014,70.65
11/7/2014,70.3
11/10/2014,70.5
11/11/2014,70.85
11/12/2014,70.9
11/13/2014,71.5
11/14/2014,71.45
11/17/2014,71.4
