Date,Close
5/28/2015,79.33
5/29/2015,78.39
6/1/2015,78.85
6/2/2015,78.54
6/3/2015,78.56
6/4/2015,78.15
6/5/2015,77.43
6/8/2015,77.71
6/9/2015,78.9
6/10/2015,79.54
6/11/2015,79.41
6/12/2015,78.87
6/15/2015,78.12
6/16/2015,79.1
6/17/2015,80.08
6/18/2015,80.82
6/19/2015,80.54
6/22/2015,80.45
6/23/2015,79.79
6/24/2015,79.51
6/25/2015,79.39
6/26/2015,79.34
6/29/2015,78.32
6/30/2015,78.24
7/1/2015,79.72
7/2/2015,79.93
7/6/2015,80.05
7/7/2015,81.72
7/8/2015,80.99
7/9/2015,80.66
7/10/2015,80.95
7/13/2015,81.91
7/14/2015,82.04
7/15/2015,82.15
7/16/2015,82.3
7/17/2015,82.24
7/20/2015,82.19
7/21/2015,81.63
7/22/2015,80.83
7/23/2015,80.7
7/24/2015,80.29
7/27/2015,79.97
7/28/2015,80.23
7/29/2015,80.62
7/30/2015,77.39
7/31/2015,76.7
8/3/2015,76.4
8/4/2015,75.91
8/5/2015,75.77
8/6/2015,75.74
8/7/2015,75.48
8/10/2015,76.38
8/11/2015,76.22
8/12/2015,76.39
8/13/2015,75.78
8/14/2015,75.62
8/17/2015,75.53
8/18/2015,75.13
8/19/2015,74.12
8/20/2015,73.91
8/21/2015,71.84
8/24/2015,69.14
8/25/2015,68.42
8/26/2015,70.9
8/27/2015,71.48
8/28/2015,71.21
8/31/2015,70.67
9/1/2015,68.9
9/2/2015,69.81
9/3/2015,69.93
9/4/2015,68.76
9/8/2015,69.98
9/9/2015,68.48
9/10/2015,68.32
9/11/2015,68.42
9/14/2015,68.06
9/15/2015,69.45
9/16/2015,70.1
9/17/2015,70.24
9/18/2015,69.94
9/21/2015,70.65
9/22/2015,70.19
9/23/2015,70.26
9/24/2015,71.36
9/25/2015,72.67
9/28/2015,71.77
9/29/2015,72.28
9/30/2015,71.94
10/1/2015,71.95
10/2/2015,72.42
10/5/2015,73.22
10/6/2015,73.4
10/7/2015,73.72
10/8/2015,74.4
10/9/2015,74.48
10/12/2015,74.33
10/13/2015,74.11
10/14/2015,74.21
10/15/2015,74.27
10/16/2015,74.9
10/19/2015,75.16
10/20/2015,74.43
10/21/2015,73.59
10/22/2015,74.85
10/23/2015,77.03
10/26/2015,77.49
10/27/2015,77.29
10/28/2015,76.51
10/29/2015,77.02
10/30/2015,76.38
11/2/2015,76.6
11/3/2015,77.05
11/4/2015,77.06
11/5/2015,76.39
11/6/2015,75.57
11/9/2015,75.4
11/10/2015,75.77
11/11/2015,75.96
11/12/2015,74.66
11/13/2015,73.96
11/16/2015,75.3
11/17/2015,75.07
11/18/2015,75.9
11/19/2015,76.22
11/20/2015,75.82
11/23/2015,75.97
11/24/2015,76.45
11/25/2015,75.9
11/27/2015,75.7
11/30/2015,74.84
12/1/2015,75.94
12/2/2015,75.79
12/3/2015,75.74
12/4/2015,77.83
12/7/2015,78.37
12/8/2015,77.75
12/9/2015,77.7
12/10/2015,77.79
12/11/2015,77.78
12/14/2015,78.29
12/15/2015,79.68
12/16/2015,80.99
12/17/2015,80.29
12/18/2015,78.13
12/21/2015,78.95
12/22/2015,79.6
12/23/2015,79.92
12/24/2015,79.79
12/28/2015,79.92
12/29/2015,80.36
12/30/2015,80.07
12/31/2015,79.41
1/4/2016,78.37
1/5/2016,78.62
1/6/2016,77.86
1/7/2016,77.18
1/8/2016,75.97
1/11/2016,76.67
1/12/2016,76.51
1/13/2016,75.85
1/14/2016,76.15
1/15/2016,74.98
1/19/2016,76.73
1/20/2016,75.83
1/21/2016,76.72
1/22/2016,77.36
1/25/2016,76.85
1/26/2016,78.81
1/27/2016,78.8
1/28/2016,79.82
1/29/2016,81.69
2/1/2016,81.12
2/2/2016,80.22
2/3/2016,81.1
2/4/2016,80.7
2/5/2016,81.2
2/8/2016,82.62
2/9/2016,82.64
2/10/2016,81.62
2/11/2016,79.9
2/12/2016,80.99
2/16/2016,81.47
2/17/2016,82.45
2/18/2016,81.98
2/19/2016,81.79
2/22/2016,82.13
2/23/2016,81.81
2/24/2016,81.56
2/25/2016,82.34
2/26/2016,81.1
2/29/2016,80.29
3/1/2016,81.23
3/2/2016,82.55
3/3/2016,82.84
3/4/2016,83.49
3/7/2016,83.1
3/8/2016,83.06
3/9/2016,82.96
3/10/2016,82.28
3/11/2016,81.75
3/14/2016,81.17
3/15/2016,81.31
3/16/2016,81.34
3/17/2016,82.75
3/18/2016,83.15
3/21/2016,83.32
3/22/2016,82.74
3/23/2016,82.82
3/24/2016,82.89
3/28/2016,82.62
3/29/2016,82.8
3/30/2016,82.68
3/31/2016,82.31
4/1/2016,83.53
4/4/2016,83.21
4/5/2016,83.16
4/6/2016,83.81
4/7/2016,83.24
4/8/2016,83.2
4/11/2016,82.73
4/12/2016,82.83
